			Grading Table - Team16

| Section                  | Grade                 | Note                                                                                                                                                                                                                                                                                                                                 |
|--------------------------|-----------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Sprint Planning          | 9/9                   | Product backlog should contain all the features that are required for complete project development. Sprint backlog is only a subset of those features. The features mentioned in you Sprint Backlog file are missing from Product Backlog file.                                                                                      |
| Scrums                   | 18.333333333333332/25 | Scrum 1:Not submitted Scrum task chart & Scrum Meeting 1.txt at almost same time, everyone should clearly mention about whether facing any obstacles or not.                                                                                                                                                                         |
|                          |                       | Scrum 2:Task Chart not updated for Nandhakumar. Nothing in progress for him.                                                                                                                                                                                                                                                         |
|                          |                       | Scrum 3:Not submitted Scrum task chart & Scrum Meeting3.txt at almost same time.                                                                                                                                                                                                                                                     |
|                          |                       | Scrum 4:Everyone try to keep atleast one task in the In-progress state unless it is the end of the sprint. Navid got done with the real-time stock data research, so should now add another task for either setting up the endpoints or brushing up on Java. Every contribution towards the project should count as a task/sub-task. |
|                          |                       | Scrum 5:Incorrect zoom video link [So, Couldn't find the scrum video]                                                                                                                                                                                                                                                                |
| Retrospective            | 6/6                   | A good self analysis. Please be aware that Travis will evaluate PRs for you as well, which can help you avoid merging PRs that will cause the build to fail.                                                                                                                                                                         |
| TDD                      | 2.5/10                |                                                                                                                                                                                                                                                                                                                                      |
| Sustainable Pace         | 9/10                  |                                                                                                                                                                                                                                                                                                                                      |
| GitFlow                  | 8/10                  |                                                                                                                                                                                                                                                                                                                                      |
| Continuous Integration   | 10/10                 |                                                                                                                                                                                                                                                                                                                                      |
| Refactor                 | 10/10                 |                                                                                                                                                                                                                                                                                                                                      |
| Coverage                 | 9.7/10                |                                                                                                                                                                                                                                                                                                                                      |
| ------------------------ | -------------------   |                                                                                                                                                                                                                                                                                                                                      |
| Total                    | 82.53333333333333     |                                                                                                                                                                                                                                                                                                                                      |
| ------------------------ | -------------------   |                                                                                                                                                                                                                                                                                                                                      |
| Implementation Score     | 7.0/250               |                                                                                                                                                                                                                                                                                                                                      |
