			Grading Table - Team TeamL

| Section                  | Grade               | Note                                                                                                                                                                                                                                                                                                                                                                                    |
|--------------------------|---------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Sprint Planning          | 8.0/9               | Product backlog in Sprint 3 did not contain some items from Retrospective for Sprint 2                                                                                                                                                                                                                                                                                                  |
| Scrums                   | 21.5/25             | Scrum 1:                                                                                                                                                                                                                                                                                                                                                                                |
|                          |                     | Scrum 2:Penalty : Zoom meeting : 15 Oct, files submitted late. Also, did not mention in Scrum Meeting 2.txt file that Kendall Mayo was absent. Anna & Sarah talk about continuing working on connecting Front-end & back-end, but task chart shows it as Done. Also, Hao Sun's remove stock functionality has been done as per Scrum video but is under "In-process" as per Task Chart. |
|                          |                     | Scrum 3:                                                                                                                                                                                                                                                                                                                                                                                |
|                          |                     | Scrum 4:                                                                                                                                                                                                                                                                                                                                                                                |
|                          |                     | Scrum 5:Hao's In-process task - "performance servlet test" should be in "Done" state as per Scrum Video                                                                                                                                                                                                                                                                                 |
| Retrospective            | 5.0/6               | The team also had deductions in Refactoring and Scrums that were not discussed in the process improvement.  (-1)                                                                                                                                                                                                                                                                        |
| TDD                      | 7.5/10              |                                                                                                                                                                                                                                                                                                                                                                                         |
| Sustainable Pace         | 10/10               |                                                                                                                                                                                                                                                                                                                                                                                         |
| GitFlow                  | 9.5/10              |                                                                                                                                                                                                                                                                                                                                                                                         |
| Continuous Integration   | 9/10                |                                                                                                                                                                                                                                                                                                                                                                                         |
| Refactor                 | 7.9/10              |                                                                                                                                                                                                                                                                                                                                                                                         |
| Coverage                 | 9.7/10              |                                                                                                                                                                                                                                                                                                                                                                                         |
| ------------------------ | ------------------- |                                                                                                                                                                                                                                                                                                                                                                                         |
| Total                    | 88.1                |                                                                                                                                                                                                                                                                                                                                                                                         |
| ------------------------ | ------------------- |                                                                                                                                                                                                                                                                                                                                                                                         |
| Implementation Score     | 67/250              |                                                                                                                                                                                                                                                                                                                                                                                         |
