			Grading Table - Team TeamL

| Section                  | Grade               | Note                                                                                                                                                                                                                         |
|--------------------------|---------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Sprint Planning          | 9.0/9               |                                                                                                                                                                                                                              |
| Scrums                   | 23.5/25             | Scrum 1:Suggestion : Some of the tasks in scrum chart were hidden. Couldn't read them properly. Please provide a complete scrum chart where all tasks can be viewed. No points deducted this time.                           |
|                          |                     | Scrum 2:Jackson had some tasks "New Frontend Calendar", etc under his name but he says he doesn't have any other tasks for the week.                                                                                         |
|                          |                     | Scrum 3:Good work !                                                                                                                                                                                                          |
|                          |                     | Scrum 4:Suggestion: Anna can try & break down her tasks : application security, confidentiality into subtasks. At the end of the scrum, status remains the same, so looks wierd even though you may have done a lot of work. |
|                          |                     | Scrum 5:Couldn't find Sydney's task in the scrum chart "Manage Portfolio UI".                                                                                                                                                |
| Retrospective            | TBD                 |                                                                                                                                                                                                                              |
| TDD                      | 10.0/10             |                                                                                                                                                                                                                              |
| Sustainable Pace         | 9.0/10              |                                                                                                                                                                                                                              |
| GitFlow                  | 10.0/10             |                                                                                                                                                                                                                              |
| Continuous Integration   | 7.0/10              |                                                                                                                                                                                                                              |
| Refactor                 | 9.7/10              |                                                                                                                                                                                                                              |
| Coverage                 | 10.0/10             |                                                                                                                                                                                                                              |
| ------------------------ | ------------------- |                                                                                                                                                                                                                              |
| Total                    | 88.2                |                                                                                                                                                                                                                              |
| ------------------------ | ------------------- |                                                                                                                                                                                                                              |
| Implementation Score     | 139/250             |                                                                                                                                                                                                                              |
